Data,ALOS3,ABEV3,ASAI3,AURE3,AMOB3,AZUL4,AZZA3,B3SA3,BBSE3,BBDC3,BBDC4,BRAP4,BBAS3,BRKM5,BRAV3,BRFS3,BPAC11,CXSE3,CRFB3,CCRO3,CMIG4,COGN3,CPLE6,CSAN3,CPFE3,CMIN3,CVCB3,CYRE3,ELET3,ELET6,EMBR3,ENGI11,ENEV3,EGIE3,EQTL3,FLRY3,GGBR4,GOAU4,NTCO3,HAPV3,HYPE3,IGTI11,IRBR3,ISAE4,ITSA4,ITUB4,JBSS3,KLBN11,RENT3,LREN3,LWSA3,MGLU3,POMO4,MRFG3,BEEF3,MRVE3,MULT3,PCAR3,PETR3,PETR4,RECV3,PRIO3,PETZ3,PSSA3,RADL3,RAIZ4,RDOR3,RAIL3,SBSP3,SANB11,STBP3,SMTO3,CSNA3,SLCE3,SUZB3,TAEE11,VIVT3,TIMS3,TOTS3,UGPA3,USIM5,VALE3,VAMO3,VBBR3,VIVA3,WEGE3,YDUQ3
03/01/2018 00:00:00,"30,94","16,79","13,76","12,86","0,47","27,06","49,66","5,97","15,21","12,62","13,45","5,68","10,29","33,08",,"34,27","3,80","7,47","13,18","13,28","1,76","17,66","1,36","8,85","12,90","5,88",,"9,25","15,14","15,34","21,16","19,86","3,54","17,88","11,61","19,76","6,78","3,45","35,05","5,43","27,68","18,97","252,87","4,33","4,83","18,35","6,96","11,68","19,06","21,87","5,01","22,57","3,00","4,07","8,42","10,42","19,68","8,49","5,54","4,95","12,20","1,74","14,40","12,06","15,81","6,38","61,41","12,49","28,88","19,89","2,31","14,78","5,67","3,19","16,15","10,87","24,20","9,70","9,41","14,16","7,77","23,95","7,02","13,97","22,37","8,47","28,91"
04/01/2018 00:00:00,"30,94","16,70","13,76","12,86","0,47","27,23","51,23","6,01","15,24","12,85","13,67","5,84","10,39","33,58",,"34,64","3,82","7,47","12,94","13,33","1,73","17,90","1,35","8,83","12,80","5,88",,"9,33","15,04","15,57","21,66","19,54","3,51","17,65","11,48","19,36","7,15","3,58","35,05","5,43","27,88","18,97","255,05","4,21","4,92","18,73","6,97","11,70","19,34","22,00","5,01","23,11","3,09","4,07","8,38","10,35","19,66","8,49","5,59","4,96","12,20","1,80","14,40","12,07","15,93","6,38","61,41","12,51","28,32","20,13","2,28","14,76","5,85","3,18","16,19","10,69","24,47","9,65","9,35","14,32","8,21","24,05","7,02","13,97","22,37","8,39","28,79"
05/01/2018 00:00:00,"30,94","16,76","13,76","12,86","0,47","27,20","49,51","6,10","15,34","12,86","13,74","5,98","10,39","34,40",,"36,34","3,88","7,47","12,85","13,38","1,74","17,86","1,38","8,92","12,60","5,88",,"9,47","14,90","15,17","20,52","19,83","3,53","17,74","11,59","19,64","7,06","3,59","35,05","5,43","28,14","18,97","258,35","4,28","4,93","18,79","7,03","11,59","19,05","21,86","5,01","22,66","3,05","4,10","8,48","10,50","19,81","8,49","5,63","4,99","12,20","1,90","14,40","12,30","16,21","6,38","61,41","12,49","28,64","20,35","2,36","14,60","5,98","3,24","16,15","10,74","24,53","9,74","9,56","14,35","7,86","24,42","7,02","13,97","22,37","8,42","28,40"
08/01/2018 00:00:00,"30,94","16,73","13,76","12,86","0,47","26,91","48,90","6,13","15,43","12,86","13,74","6,08","10,41","34,46",,"36,77","3,93","7,47","12,51","13,20","1,74","17,07","1,38","8,85","12,80","5,88",,"9,52","15,00","15,21","20,57","19,50","3,45","17,84","11,74","19,13","7,30","3,63","35,05","5,43","27,85","18,97","262,55","4,25","4,92","18,72","7,04","11,80","18,96","21,75","5,01","22,66","2,99","4,03","8,19","10,29","19,56","8,49","5,72","5,05","12,20","2,04","14,40","12,24","16,00","6,38","61,41","12,64","29,22","20,74","2,28","14,52","6,27","3,22","16,54","10,69","24,78","9,60","9,55","14,45","7,94","24,97","7,02","13,97","22,37","8,49","28,50"
09/01/2018 00:00:00,"30,94","16,68","13,76","12,86","0,47","26,80","48,59","6,04","15,37","12,76","13,61","6,01","10,31","34,54",,"36,91","3,90","7,47","12,39","13,20","1,71","17,28","1,37","8,60","12,84","5,88",,"9,48","14,40","14,57","20,10","19,74","3,47","17,84","11,74","18,58","7,35","3,63","35,05","5,43","28,00","18,97","262,17","4,28","4,85","18,52","6,80","11,67","18,81","21,88","5,01","22,12","2,97","3,98","8,17","10,35","19,62","8,49","5,72","5,05","12,20","1,83","14,40","12,33","15,78","6,38","61,41","12,24","28,83","20,59","2,16","14,50","6,44","3,22","16,71","10,50","24,72","9,62","9,55","14,39","8,03","24,87","7,02","13,97","22,37","8,63","28,01"
10/01/2018 00:00:00,"30,94","16,68","13,76","12,86","0,47","26,45","48,63","5,98","15,31","12,68","13,47","5,95","10,27","34,16",,"36,20","3,88","7,47","12,16","12,88","1,73","17,61","1,38","8,44","13,44","5,88",,"9,28","13,82","13,97","20,16","19,11","3,40","17,77","11,65","19,18","7,25","3,64","35,05","5,43","27,89","18,97","262,10","4,26","4,85","18,46","6,82","11,44","18,77","21,29","5,01","22,34","2,98","3,97","8,17","10,37","19,51","8,49","5,61","4,98","12,20","1,80","14,40","12,59","15,30","6,38","61,41","12,21","28,25","20,56","2,19","14,33","6,46","3,30","16,80","10,36","24,40","9,39","9,53","14,28","8,03","24,53","7,02","13,97","22,37","8,56","28,04"
11/01/2018 00:00:00,"30,94","16,88","13,76","12,86","0,47","26,55","49,23","6,08","15,40","12,86","13,74","6,13","10,51","35,15",,"36,45","3,87","7,47","12,26","12,88","1,77","16,97","1,38","8,52","13,88","5,88",,"9,64","14,03","14,32","20,37","19,30","3,45","17,60","11,72","18,79","7,84","3,82","35,05","5,43","28,01","18,97","270,05","4,20","4,92","18,84","6,89","11,37","19,17","21,39","5,01","22,38","3,01","3,98","8,17","10,53","19,76","8,49","5,75","5,12","12,20","1,98","14,40","12,85","15,51","6,38","61,41","12,47","28,62","20,86","2,20","14,29","6,84","3,31","16,74","10,28","25,39","9,43","9,52","14,34","8,46","25,01","7,02","13,97","22,37","8,73","28,90"
12/01/2018 00:00:00,"30,94","16,68","13,76","12,86","0,47","26,40","48,46","6,05","15,43","12,86","13,74","6,17","10,53","35,47",,"36,64","3,88","7,47","12,53","12,97","1,75","16,24","1,34","8,68","13,56","5,88",,"9,71","13,72","14,12","20,12","19,36","3,47","17,69","11,81","18,68","7,84","3,92","35,05","5,43","28,55","18,97","277,47","4,27","4,94","18,83","6,91","11,22","18,82","21,57","5,01","22,36","2,97","3,88","8,02","10,51","19,67","8,49","5,80","5,13","12,20","1,91","14,40","13,23","15,50","6,38","61,41","12,52","28,79","20,76","2,16","14,43","6,62","3,30","16,68","10,28","25,16","9,46","9,50","14,37","8,63","25,15","7,02","13,97","22,37","8,79","28,14"
15/01/2018 00:00:00,"30,94","16,85","13,76","12,86","0,47","26,98","50,12","6,07","15,41","12,89","13,84","6,17","10,58","36,30",,"36,61","3,93","7,47","12,44","12,99","1,74","16,17","1,34","8,67","14,12","5,88",,"9,95","13,90","14,36","19,97","19,32","3,49","17,78","12,01","18,99","7,76","3,90","35,05","5,43","28,42","18,97","281,30","4,29","5,00","18,94","6,89","11,21","19,42","22,12","5,01","22,74","3,00","3,85","8,02","10,55","19,94","8,49","5,83","5,15","12,20","1,90","14,40","13,56","15,53","6,38","61,41","12,59","28,81","20,72","2,14","14,52","6,79","3,33","16,86","10,39","24,98","9,68","9,49","14,41","8,85","25,10","7,02","13,97","22,37","8,85","27,89"
16/01/2018 00:00:00,"30,94","16,92","13,76","12,86","0,47","27,15","50,69","6,11","15,69","13,10","13,93","6,02","10,68","37,48",,"36,77","3,90","7,47","12,43","12,90","1,75","16,00","1,35","8,48","13,94","5,88",,"9,87","14,05","14,49","19,80","19,53","3,50","17,86","11,87","18,88","7,57","3,82","35,05","5,43","28,44","18,97","283,25","4,39","5,06","19,12","6,83","11,23","19,79","22,19","5,01","22,69","2,98","3,78","8,00","10,52","19,35","8,49","5,93","5,24","12,20","1,80","14,40","13,95","15,27","6,38","61,41","12,68","28,95","20,68","2,10","14,21","6,60","3,34","16,83","10,33","25,37","9,35","9,64","14,44","8,59","24,43","7,02","13,97","22,37","8,96","27,71"
