Data,ALOS3,ABEV3,ASAI3,AURE3,AMOB3,AZUL4,AZZA3,B3SA3,BBSE3,BBDC3,BBDC4,BRAP4,BBAS3,BRKM5,BRAV3,BRFS3,BPAC11,CXSE3,CRFB3,CCRO3,CMIG4,COGN3,CPLE6,CSAN3,CPFE3,CMIN3,CVCB3,CYRE3,ELET3,ELET6,EMBR3,ENGI11,ENEV3,EGIE3,EQTL3,FLRY3,GGBR4,GOAU4,NTCO3,HAPV3,HYPE3,IGTI11,IRBR3,ISAE4,ITSA4,ITUB4,JBSS3,KLBN11,RENT3,LREN3,LWSA3,MGLU3,POMO4,MRFG3,BEEF3,MRVE3,MULT3,PCAR3,PETR3,PETR4,RECV3,PRIO3,PETZ3,PSSA3,RADL3,RAIZ4,RDOR3,RAIL3,SBSP3,SANB11,STBP3,SMTO3,CSNA3,SLCE3,SUZB3,TAEE11,VIVT3,TIMS3,TOTS3,UGPA3,USIM5,VALE3,VAMO3,VBBR3,VIVA3,WEGE3,YDUQ3
03/01/2018 00:00:00,"34,63","21,74","14,28","16,40","23,50","27,06","58,00","7,77","28,72","18,44","19,77","13,78","16,67","43,49","21,00","35,22","4,77","10,01","15,39","16,44","3,52","18,50","2,36","10,64","19,19","9,29","40,87","13,38","18,54","21,49","21,30","26,85","3,54","28,38","13,15","27,34","10,28","6,03","36,76","83,52","35,39","20,46","258,47","16,50","7,93","26,78","9,88","16,34","21,87","26,68","5,15","22,89","4,03","7,18","10,63","13,95","24,18","11,25","17,55","16,70","15,27","1,74","15,45","18,53","16,96","7,24","66,53","12,60","33,98","31,16","3,42","19,14","9,00","5,76","18,65","21,49","20,10","13,21","10,22","17,56","9,92","41,47","8,04","22,63","23,73","9,48","33,90"
04/01/2018 00:00:00,"34,63","21,62","14,28","16,40","23,50","27,23","59,83","7,82","28,78","18,78","20,10","14,18","16,83","44,15","21,00","35,60","4,79","10,01","15,11","16,50","3,48","18,75","2,35","10,61","19,05","9,29","41,20","13,49","18,42","21,80","21,80","26,42","3,51","28,02","12,98","26,79","10,83","6,25","36,76","83,52","35,65","20,46","260,70","16,05","8,08","27,33","9,90","16,36","22,18","26,83","5,15","23,44","4,15","7,18","10,59","13,86","24,15","11,25","17,70","16,73","15,27","1,80","15,45","18,55","17,09","7,24","66,53","12,62","33,32","31,54","3,37","19,11","9,28","5,74","18,70","21,15","20,32","13,15","10,16","17,76","10,48","41,64","8,04","22,63","23,73","9,38","33,76"
05/01/2018 00:00:00,"34,63","21,70","14,28","16,40","23,50","27,20","57,82","7,93","28,97","18,78","20,21","14,52","16,83","45,22","21,00","37,35","4,69","10,01","15,00","16,57","3,48","18,71","2,39","10,72","18,74","9,29","41,00","13,70","18,25","21,25","20,65","26,81","3,53","28,16","13,11","27,18","10,70","6,27","36,76","83,52","35,98","20,46","264,07","16,31","8,10","27,41","9,98","16,21","21,86","26,67","5,15","22,97","4,10","7,24","10,71","14,06","24,33","11,25","17,84","16,83","15,27","1,90","15,45","18,91","17,39","7,24","66,53","12,60","33,70","31,87","3,49","18,90","9,49","5,85","18,65","21,25","20,37","13,26","10,37","17,80","10,03","42,29","8,04","22,63","23,73","9,42","33,30"
08/01/2018 00:00:00,"34,63","21,66","14,28","16,40","23,50","26,91","57,11","7,97","29,14","18,78","20,21","14,77","16,88","45,30","21,00","37,79","4,75","10,01","14,61","16,34","3,49","17,88","2,40","10,63","19,04","9,29","40,82","13,77","18,37","21,30","20,70","26,37","3,45","28,32","13,28","26,47","11,07","6,35","36,76","83,52","35,61","20,46","268,37","16,23","8,09","27,32","10,00","16,50","21,75","26,54","5,15","22,98","4,02","7,11","10,34","13,78","24,03","11,25","18,12","17,03","15,27","2,05","15,45","18,81","17,17","7,24","66,53","12,76","34,39","31,18","3,37","18,80","9,95","5,82","19,10","21,15","20,58","13,08","10,37","17,92","10,14","43,23","8,04","22,63","23,73","9,50","33,42"
09/01/2018 00:00:00,"34,63","21,60","14,28","16,40","23,50","26,80","56,75","7,85","29,04","18,64","20,02","14,60","16,72","45,40","21,00","37,93","4,72","10,01","14,47","16,35","3,42","18,10","2,38","10,34","19,10","9,29","41,28","13,71","17,64","20,40","20,23","26,69","3,47","28,32","13,28","25,71","11,13","6,34","36,76","83,52","35,80","20,46","267,98","16,33","7,96","27,02","9,66","16,32","21,57","26,69","5,15","22,42","4,00","7,02","10,32","13,86","24,10","11,25","18,12","17,03","15,27","1,83","15,45","18,94","16,93","7,24","66,53","12,35","33,92","30,96","3,20","18,77","10,22","5,82","19,30","20,76","20,53","13,10","10,37","17,85","10,25","43,07","8,04","22,63","23,73","9,65","32,85"
10/01/2018 00:00:00,"34,63","21,60","14,28","16,40","23,50","26,45","56,80","7,78","28,92","18,52","19,81","14,45","16,65","44,91","21,00","37,21","4,68","10,01","14,20","15,95","3,47","18,45","2,39","10,14","20,00","9,29","41,29","13,42","16,93","19,56","20,29","25,84","3,40","28,22","13,18","26,55","10,98","6,36","36,76","83,52","35,66","20,46","267,91","16,25","7,96","26,93","9,68","16,00","21,53","25,98","5,15","22,65","4,01","7,01","10,32","13,89","23,97","11,25","17,78","16,80","15,27","1,80","15,45","19,35","16,42","7,24","66,53","12,32","33,24","30,90","3,24","18,56","10,25","5,96","19,41","20,48","20,27","12,79","10,34","17,71","10,25","42,47","8,04","22,63","23,73","9,58","32,88"
11/01/2018 00:00:00,"34,63","21,85","14,28","16,40","23,50","26,55","57,50","7,91","29,09","18,78","20,21","14,89","17,02","46,21","21,00","37,47","4,68","10,01","14,32","15,95","3,54","17,78","2,39","10,24","20,65","9,29","41,70","13,95","17,19","20,05","20,50","26,10","3,45","27,94","13,26","26,01","11,88","6,68","36,76","83,52","35,81","20,46","276,03","16,02","8,09","27,50","9,78","15,91","21,99","26,09","5,15","22,69","4,05","7,02","10,32","14,11","24,27","11,25","18,22","17,25","15,27","1,98","15,45","19,75","16,64","7,24","66,53","12,58","33,68","31,36","3,26","18,50","10,85","5,97","19,34","20,33","21,08","12,84","10,33","17,78","10,80","43,30","8,04","22,63","23,73","9,76","33,89"
12/01/2018 00:00:00,"34,63","21,60","14,28","16,40","23,50","26,40","56,60","7,87","29,15","18,78","20,21","14,99","17,07","46,63","21,00","37,66","4,69","10,01","14,63","16,06","3,51","17,01","2,33","10,43","20,18","9,29","41,31","14,05","16,80","19,77","20,25","26,18","3,47","28,08","13,37","25,85","11,88","6,85","36,76","83,52","36,50","20,46","283,62","16,27","8,11","27,47","9,82","15,69","21,59","26,31","5,15","22,67","3,99","6,84","10,13","14,08","24,16","11,25","18,36","17,30","15,27","1,92","15,45","20,33","16,63","7,24","66,53","12,63","33,88","31,21","3,19","18,68","10,51","5,95","19,27","20,33","20,90","12,88","10,32","17,82","11,02","43,55","8,04","22,63","23,73","9,83","33,00"
15/01/2018 00:00:00,"34,63","21,82","14,28","16,40","23,50","26,98","58,54","7,89","29,11","18,83","20,35","14,98","17,15","47,72","21,00","37,63","4,75","10,01","14,53","16,08","3,49","16,94","2,33","10,42","21,00","9,29","41,29","14,39","17,02","20,11","20,10","26,12","3,49","28,23","13,58","26,27","11,76","6,82","36,76","83,52","36,33","20,46","287,53","16,38","8,21","27,64","9,79","15,68","22,28","26,98","5,15","23,06","4,04","6,80","10,13","14,13","24,50","11,25","18,46","17,35","15,27","1,90","15,45","20,83","16,66","7,24","66,53","12,71","33,90","31,15","3,17","18,80","10,78","6,01","19,47","20,55","20,75","13,19","10,30","17,87","11,30","43,47","8,04","22,63","23,73","9,90","32,71"
16/01/2018 00:00:00,"34,63","21,90","14,28","16,40","23,50","27,15","59,20","7,95","29,63","19,14","20,48","14,61","17,30","49,27","21,00","37,79","4,71","10,01","14,51","15,97","3,50","16,76","2,34","10,19","20,74","9,29","41,61","14,28","17,21","20,30","19,93","26,41","3,50","28,36","13,43","26,12","11,48","6,67","36,76","83,52","36,36","20,46","289,53","16,75","8,32","27,90","9,70","15,71","22,70","27,07","5,15","23,00","4,01","6,67","10,11","14,09","23,77","11,25","18,79","17,65","15,27","1,80","15,45","21,44","16,39","7,24","66,53","12,80","34,07","31,10","3,11","18,40","10,48","6,03","19,44","20,43","21,08","12,73","10,46","17,91","10,96","42,30","8,04","22,63","23,73","10,02","32,50"
