"DATA","ABERTURA","FECHAMENTO","VARIAÇÃO","MÍNIMO","MÁXIMO","VOLUME"
"13/05/2025","57.627","58.642","1,76","57.625","58.837","n/d"
"12/05/2025","n/d","57.630","0,01","57.537","58.046","n/d"
"09/05/2025","56.316","57.626","0,25","57.460","57.942","n/d"
"08/05/2025","56.332","57.480","2,12","56.316","58.061","n/d"
"07/05/2025","56.325","56.286","-0,08","56.058","56.585","n/d"
"06/05/2025","57.016","56.332","0,02","56.224","56.598","n/d"
"05/05/2025","57.016","56.322","-1,22","56.280","57.034","n/d"
"02/05/2025","57.019","57.017","0,08","56.680","57.062","n/d"
"30/04/2025","57.019","56.969","-0,09","56.513","57.019","n/d"
"29/04/2025","56.899","57.019","0,02","56.956","57.483","n/d"
"28/04/2025","n/d","57.010","0,19","56.888","57.309","n/d"
"25/04/2025","56.827","56.899","0,13","56.670","57.007","n/d"
"24/04/2025","55.108","56.828","1,79","55.834","56.971","n/d"
"23/04/2025","55.108","55.831","1,31","55.108","56.277","n/d"
"22/04/2025","n/d","55.107","0,61","54.376","55.278","n/d"
"17/04/2025","54.196","54.774","1,07","54.061","54.961","n/d"
"16/04/2025","54.664","54.196","-0,70","54.121","54.740","n/d"
"15/04/2025","54.664","54.577","-0,16","54.451","54.871","n/d"
"14/04/2025","53.922","54.664","1,38","53.922","54.874","n/d"
"11/04/2025","53.339","53.922","1,09","53.207","54.211","n/d"
"10/04/2025","52.382","53.339","-1,22","52.744","53.996","n/d"
"09/04/2025","52.382","53.996","3,08","53.996","53.996","n/d"
"08/04/2025","53.084","52.382","-1,32","52.178","53.016","n/d"
"07/04/2025","53.824","53.084","-1,38","52.382","54.287","n/d"
"04/04/2025","55.478","53.825","-2,98","53.464","55.478","n/d"
"03/04/2025","55.523","55.480","-0,08","55.085","56.061","n/d"
"02/04/2025","55.136","55.525","0,04","55.191","55.617","n/d"
"01/04/2025","55.819","55.505","0,68","55.060","55.863","n/d"
"31/03/2025","55.819","55.131","-1,23","55.088","55.819","n/d"
"28/03/2025","56.059","55.819","-0,93","55.568","56.341","n/d"
"27/03/2025","56.059","56.344","0,51","56.041","56.661","n/d"
"26/03/2025","55.563","56.058","0,33","55.873","56.262","n/d"
"25/03/2025","55.990","55.872","0,56","55.562","56.468","n/d"
"24/03/2025","55.990","55.561","-0,77","55.425","56.027","n/d"
"21/03/2025","56.043","55.990","0,27","55.749","56.088","n/d"
"20/03/2025","55.606","55.837","-0,37","55.752","56.133","n/d"
"19/03/2025","55.336","56.045","0,79","55.602","56.248","n/d"
"18/03/2025","54.554","55.605","0,49","55.284","55.756","n/d"
"17/03/2025","54.554","55.336","1,44","54.552","55.545","n/d"
"14/03/2025","52.413","54.553","2,66","53.141","54.657","n/d"
"13/03/2025","52.254","53.140","1,38","52.282","53.194","n/d"
"12/03/2025","52.697","52.415","0,31","52.041","52.499","n/d"
"11/03/2025","52.907","52.254","-0,84","51.885","52.744","n/d"
"10/03/2025","52.907","52.697","-0,40","52.248","52.907","n/d"
"07/03/2025","52.191","52.908","1,37","51.848","53.238","n/d"
"06/03/2025","52.040","52.191","0,23","51.904","52.513","n/d"
"05/03/2025","52.040","52.072","0,06","51.970","52.202","n/d"
"28/02/2025","52.924","52.040","-1,57","51.978","52.901","n/d"
"27/02/2025","53.465","52.867","-0,11","52.659","53.156","n/d"
"26/02/2025","53.229","52.925","-1,01","52.906","53.693","n/d"
"25/02/2025","53.963","53.463","0,44","53.221","53.784","n/d"
"24/02/2025","53.963","53.229","-1,36","53.129","54.021","n/d"
"21/02/2025","54.137","53.963","-0,32","53.690","54.156","n/d"
"20/02/2025","54.492","54.137","0,27","53.891","54.235","n/d"
"19/02/2025","54.482","53.993","-0,92","53.883","54.492","n/d"
"18/02/2025","54.326","54.494","0,02","54.262","54.815","n/d"
"17/02/2025","54.326","54.482","0,29","54.325","54.891","n/d"
"14/02/2025","52.683","54.327","2,73","52.883","54.440","n/d"
"13/02/2025","53.583","52.883","0,38","52.430","52.884","n/d"
"12/02/2025","53.583","52.683","-1,68","52.569","53.583","n/d"
"11/02/2025","52.781","53.584","0,76","53.178","53.739","n/d"
"10/02/2025","52.781","53.181","0,76","52.781","53.523","n/d"
