Data,IVVB11,BOVA11
02/01/2017 16:56:00,"78,64","57,63"
03/01/2017 16:56:00,"76,25","59,75"
04/01/2017 16:56:00,"75,94","59,75"
05/01/2017 16:56:00,"75,26","60,05"
06/01/2017 16:56:00,"76,3","59,85"
09/01/2017 16:56:00,"75,44","59,74"
10/01/2017 16:56:00,"75,24","60,25"
11/01/2017 16:56:00,"75,29","60,47"
12/01/2017 16:56:00,"75,1",62
13/01/2017 16:56:00,"75,84","61,68"
16/01/2017 16:56:00,"76,93","61,9"
17/01/2017 16:56:00,"75,51","62,28"
18/01/2017 16:56:00,"75,81","61,9"
19/01/2017 16:56:00,"75,25","62,1"
20/01/2017 16:56:00,"74,8","62,57"
23/01/2017 16:56:00,"74,33","63,8"
24/01/2017 16:56:00,"75,03","63,91"
26/01/2017 16:56:00,"75,8","64,2"
27/01/2017 16:56:00,"74,81","64,01"
30/01/2017 16:56:00,"73,92","62,26"
31/01/2017 16:56:00,"74,36","62,39"
01/02/2017 16:56:00,"74,04","62,71"
02/02/2017 16:56:00,"73,83","62,65"
03/02/2017 16:56:00,"74,44","63,09"
06/02/2017 16:56:00,"74,23","62,01"
07/02/2017 16:56:00,"74,37","62,01"
08/02/2017 16:56:00,"74,31","62,87"
09/02/2017 16:56:00,"75,11","62,83"
10/02/2017 16:56:00,"74,9","63,99"
13/02/2017 16:56:00,"75,21","64,68"
14/02/2017 16:56:00,"74,82","65,05"
15/02/2017 16:56:00,"74,68","65,85"
16/02/2017 16:56:00,"75,27","65,6"
17/02/2017 16:56:00,"75,5","65,42"
20/02/2017 16:56:00,"75,99","66,35"
21/02/2017 16:56:00,"76,25","66,89"
22/02/2017 16:56:00,"75,28","66,48"
23/02/2017 16:56:00,"75,2","65,32"
24/02/2017 16:56:00,"76,45","64,5"
01/03/2017 16:56:00,"77,15","64,83"
02/03/2017 16:56:00,"78,19","63,5"
03/03/2017 16:56:00,"77,4","64,6"
06/03/2017 16:56:00,"77,69","64,2"
07/03/2017 16:56:00,"76,7","63,82"
08/03/2017 16:56:00,"78,04","62,63"
09/03/2017 16:56:00,"78,76","62,37"
